# ----------------------------------------,,
# 1. GOV.UK (Entire site - Filtered),,
# Sceen resolutions,,
# 20170509-20170607,,
# ----------------------------------------,,
,,
Screen Resolution,Users,Sessions
375x667,"6,199,133","12,113,595"
360x640,"5,783,940","13,249,314"
1366x768,"5,653,107","12,520,919"
1920x1080,"4,255,067","10,498,232"
320x568,"3,505,467","6,614,622"
768x1024,"3,357,543","6,350,005"
1280x1024,"1,938,586","4,442,631"
1440x900,"1,804,774","4,082,038"
1280x800,"1,596,022","3,477,662"
414x736,"1,325,259","2,705,109"
1600x900,"1,205,804","2,865,759"
1536x864,"928,683","2,269,337"
1024x768,"807,093","1,443,931"
1680x1050,"777,752","1,870,002"
1280x720,"565,644","1,294,219"
412x732,"347,802","806,589"
1920x1200,"336,550","732,386"
2560x1440,"331,401","739,314"
320x480,"257,759","466,241"
320x534,"188,900","392,277"
1360x768,"154,330","359,755"
1093x614,"150,063","297,333"
800x1280,"134,314","261,647"
600x1024,"130,284","261,231"
1438x808,"120,045","236,716"
1301x731,"119,616","235,669"
601x962,"117,111","225,984"
320x570,"104,100","221,060"
1093x615,"91,615","205,975"
1518x853,"90,532","179,313"
1024x600,"88,846","177,424"
360x740,"86,416","204,727"
1242x698,"86,132","163,719"
1024x819,"85,067","202,674"
1344x840,"83,355","230,219"
1024x1366,"82,782","162,366"
640x360,"78,789","93,735"
1280x768,"70,282","161,340"
1821x1024,"68,837","135,937"
960x600,"68,033","130,472"
1829x1029,"65,412","160,840"
1188x668,"60,792","113,810"
412x846,"60,281","146,462"
1600x1200,"58,689","118,548"
1607x904,"58,018","111,799"
600x960,"56,951","105,672"
480x800,"56,328","108,076"
2048x1152,"54,865","128,028"
1368x912,"54,500","123,878"
1152x720,"54,246","129,721"
403x671,"53,194","106,953"
962x601,"53,046","100,429"
1745x982,"52,888","125,919"
2021x1137,"50,363","120,829"
720x1280,"49,725","89,482"
1138x640,"48,736","91,860"
1152x864,"47,399","106,357"
357x595,"46,908","99,106"
2133x1200,"44,237","102,508"
1670x939,"43,872","104,553"
1280x960,"42,435","95,948"
1024x820,"37,331","94,451"
534x854,"36,740","66,319"
320x569,"34,232","80,937"
1440x960,"33,838","72,615"
1707x960,"33,600","70,494"
1536x960,"33,392","75,006"
360x592,"32,988","67,067"
1477x831,"29,108","65,306"
1364x768,"28,819","65,080"
1219x975,"28,202","67,513"
1347x1078,"27,176","64,551"
854x534,"26,770","47,995"
1600x1000,"25,814","60,961"
800x600,"25,735","40,360"
1051x591,"25,530","45,843"
1422x800,"24,997","55,495"
2560x1080,"24,146","55,464"
1524x857,"21,703","48,523"
1422x1138,"20,838","48,173"
1024x640,"20,779","42,481"
2259x1271,"19,871","45,430"
1708x960,"19,708","39,274"
1067x600,"19,615","39,583"
1324x745,"18,822","38,377"
1080x1920,"18,761","31,824"
1684x947,"18,629","42,366"
480x853,"18,533","38,322"
1164x931,"18,468","42,712"
1097x617,"18,337","38,021"
1371x771,"18,083","39,719"
1012x569,"16,600","29,453"
1455x818,"15,863","35,003"
338x563,"15,401","31,926"
361x642,"15,210","35,852"
2400x1350,"14,643","33,009"
540x960,"14,580","25,142"
1778x1000,"14,343","31,922"
1365x1024,"14,214","28,323"
911x512,"13,975","25,311"
1707x1365,"13,125","27,342"
1120x700,"13,065","31,930"
1280x752,"12,840","25,852"
1113x890,"12,463","28,314"
1506x1205,"12,181","26,407"
1391x783,"12,152","25,652"
1500x1000,"12,093","32,786"
1768x1105,"11,313","25,308"
3440x1440,"10,812","25,456"
480x854,"10,796","19,620"
1333x750,"10,661","23,222"
1371x857,"10,564","24,774"
1951x1097,"10,454","18,664"
976x549,"10,187","17,886"
1239x697,"10,152","21,698"
1527x955,"9,844","23,335"
1516x947,"9,777","24,325"
2560x1600,"9,669","19,653"
1400x1050,"9,356","22,009"
1067x853,"9,340","22,226"
360x598,"8,861","19,620"
424x753,"8,646","18,730"
1867x1167,"8,460","19,545"
377x628,"8,440","16,509"
1200x675,"8,427","16,578"
403x716,"8,370","16,506"
383x638,"8,133","15,933"
1600x1280,"7,713","16,956"
1882x1059,"7,669","16,633"
1368x768,"7,330","15,408"
1461x913,"7,144","17,445"
1164x655,"6,798","13,587"
1309x818,"6,777","15,787"
1280x853,"6,613","13,403"
1024x576,"6,580","14,445"
1078x808,"6,444","13,455"
320x401,"6,378","11,113"
1231x692,"6,367","12,952"
1138x853,"6,301","13,348"
942x530,"6,291","10,800"
1400x875,"6,094","14,708"
1280x992,"6,088","10,466"
1280x854,"6,062","12,706"
393x699,"6,054","11,925"
2000x1125,"5,883","12,838"
1463x823,"5,787","13,610"
1829x1143,"5,559","11,306"
600x976,"5,396","10,490"
1200x750,"5,238","12,753"
1024x552,"5,034","10,823"
960x540,"4,735","8,731"
1976x1235,"4,723","10,212"
1525x858,"4,703","14,167"
601x914,"4,693","10,653"
2240x1400,"4,692","9,923"
853x683,"4,680","9,709"
1252x783,"4,607","10,852"
1205x904,"4,535","9,178"
2021x1263,"4,520","9,305"
1088x614,"4,463","9,288"
534x320,"4,427","5,523"
320x522,"4,425","9,184"
384x640,"4,396","7,624"
1707x1067,"4,390","8,820"
1129x635,"4,380","8,485"
819x614,"4,351","8,007"
1694x1059,"4,335","9,675"
1252x704,"4,329","12,775"
396x660,"4,324","8,266"
2102x1182,"4,319","7,028"
347x347,"4,289","7,911"
400x640,"4,268","9,379"
1745x1091,"4,175","8,672"
1440x2560,"4,022","6,457"
1185x667,"4,011","8,241"
343x571,"3,992","8,327"
3840x2160,"3,962","8,360"
1088x615,"3,946","9,134"
320x455,"3,923","5,868"
732x412,"3,819","4,439"
432x768,"3,755","8,165"
391x391,"3,715","6,502"
1098x618,"3,711","8,325"
320x533,"3,672","6,219"
1563x1042,"3,663","8,313"
1067x800,"3,626","7,202"
1229x691,"3,582","8,848"
505x505,"3,565","7,167"
320x450,"3,535","7,217"
820x615,"3,441","7,739"
1216x811,"3,432","7,432"
2133x1333,"3,404","6,918"
485x861,"3,361","7,059"
391x695,"3,333","5,603"
461x768,"3,328","6,081"
800x1232,"3,255","5,975"
975x731,"3,203","6,196"
985x788,"3,145","7,184"
1670x1043,"3,117","6,368"
1143x643,"3,103","6,194"
300x371,"3,083","3,708"
1292x808,"3,077","7,870"
881x495,"3,055","5,062"
720x1184,"2,973","4,175"
1536x865,"2,970","6,222"
1824x1216,"2,940","6,177"
360x670,"2,903","6,302"
1423x800,"2,885","6,843"
455x809,"2,857","6,109"
1800x1125,"2,840","6,278"
1422x889,"2,728","5,458"
360x604,"2,707","5,507"
1680x945,"2,692","6,265"
2100x1312,"2,684","5,885"
1728x1152,"2,672","5,849"
570x320,"2,614","3,199"
2560x1024,"2,490","5,267"
1080x720,"2,454","5,111"
854x480,"2,420","3,869"
1024x614,"2,352","4,816"
1920x1018,"2,340","4,508"
1440x1050,"2,323","2,326"
1843x1037,"2,314","5,736"
1200x1920,"2,308","4,146"
330x549,"2,287","4,213"
781x439,"2,287","3,904"
1219x762,"2,286","4,422"
1024x1280,"2,280","5,367"
1347x842,"2,265","4,622"
1229x983,"2,249","4,956"
342x500,"2,241","2,808"
1103x621,"2,228","4,203"
2160x1440,"2,226","4,534"
1067x667,"2,193","4,150"
1244x778,"2,179","5,292"
486x863,"2,104","4,411"
300x391,"2,101","2,598"
1776x1000,"2,074","4,697"
1038x584,"2,033","3,917"
1440x810,"2,028","4,898"
2743x1543,"2,024","3,713"
2277x1280,"1,999","3,229"
1432x808,"1,997","4,448"
376x668,"1,995","4,487"
320x658,"1,991","4,420"
1537x864,"1,970","4,069"
320x240,"1,942","3,784"
342x487,"1,935","2,426"
360x668,"1,929","3,850"
2048x864,"1,926","4,700"
1234x823,"1,918","4,053"
3072x1728,"1,884","3,940"
854x683,"1,884","4,865"
960x552,"1,863","3,277"
2259x1412,"1,853","3,808"
2400x1500,"1,816","3,596"
360x480,"1,802","1,956"
600x912,"1,789","3,362"
1311x737,"1,776","3,833"
1768x992,"1,773","3,869"
3200x1800,"1,771","3,584"
1396x785,"1,741","3,719"
1600x1024,"1,734","3,859"
640x480,"1,733","2,593"
300x405,"1,731","2,102"
1164x727,"1,713","3,236"
800x480,"1,711","2,896"
828x465,"1,694","2,658"
1676x943,"1,693","4,524"
1813x1024,"1,693","3,617"
320x341,"1,670","3,062"
1347x758,"1,664","3,410"
1295x731,"1,632","3,267"
1639x922,"1,612","3,806"
240x320,"1,597","2,487"
1344x756,"1,592","3,406"
1511x853,"1,582","3,604"
1564x1043,"1,569","3,767"
1024x615,"1,565","3,562"
2752x1152,"1,556","4,512"
931x698,"1,537","3,134"
2304x1296,"1,531","3,342"
1350x1080,"1,520","3,275"
487x866,"1,517","2,957"
1094x730,"1,495","3,459"
948x759,"1,460","3,105"
1477x923,"1,454","2,927"
1249x702,"1,432","2,776"
300x378,"1,428","1,858"
2286x1286,"1,418","2,621"
1280x900,"1,410","2,648"
1441x810,"1,409","2,892"
2736x1824,"1,409","3,091"
1108x692,"1,404","3,047"
2195x1235,"1,381","3,163"
1011x568,"1,378","2,444"
1120x840,"1,378","3,066"
2880x1620,"1,375","2,829"
364x606,"1,375","2,494"
1755x987,"1,366","3,618"
1050x1680,"1,363","3,073"
1846x1038,"1,362","3,158"
1603x902,"1,353","3,467"
1092x614,"1,337","2,695"
300x381,"1,327","1,696"
320x508,"1,311","1,768"
387x688,"1,278","2,284"
1200x800,"1,266","2,936"
1536x1024,"1,262","2,657"
985x554,"1,255","2,153"
2048x1280,"1,245","2,467"
1219x686,"1,244","2,455"
1506x847,"1,241","2,559"
1561x878,"1,232","2,659"
230x269,"1,226","1,965"
1170x936,"1,223","2,580"
1408x792,"1,219","3,335"
1032x581,"1,211","2,303"
804x452,"1,201","1,834"
346x615,"1,199","2,681"
914x514,"1,199","2,091"
1347x808,"1,197","2,657"
1360x1020,"1,194","1,196"
1829x1463,"1,192","2,176"
541x962,"1,183","2,492"
1152x648,"1,182","2,839"
1301x732,"1,181","2,229"
2144x1206,"1,181","5,395"
1236x698,"1,173","2,529"
1707x1024,"1,169","2,303"
1080x1776,"1,168","1,887"
290x305,"1,151","1,334"
300x425,"1,147","1,336"
412x765,"1,140","2,661"
853x533,"1,125","2,119"
2194x1234,"1,118","2,430"
1382x864,"1,116","3,002"
408x725,"1,116","2,562"
1235x823,"1,114","2,723"
377x670,"1,107","2,373"
1506x941,"1,100","2,143"
320x427,"1,095","2,411"
1429x1143,"1,086","2,728"
1376x774,"1,083","3,165"
1638x922,"1,080","2,552"
1655x931,"1,072","2,310"
1113x696,"1,071","1,930"
2025x1139,"1,071","2,862"
1159x724,"1,069","2,250"
1219x731,"1,058","2,206"
1600x800,"1,043","1,044"
1600x904,"1,042","2,324"
1524x1143,"1,036","2,140"
342x486,"1,017","1,310"
922x691,989,"2,079"
1438x809,988,"1,765"
2087x1174,976,"2,330"
325x541,974,"1,662"
1422x853,969,"1,985"
1365x768,964,"2,185"
1097x686,962,"1,779"
1739x979,962,"2,491"
1548x871,960,"2,034"
1024x736,956,"1,583"
1714x964,954,"2,168"
1617x909,953,"2,455"
1280x994,948,"4,046"
3840x1080,947,"2,157"
1488x837,946,"2,088"
2732x1536,942,"1,336"
300x426,934,"1,140"
1080x1812,929,"1,619"
320x202,927,"1,402"
1080x810,919,"2,106"
1421x800,918,"1,978"
1429x804,917,"2,407"
480x320,906,"1,190"
1730x973,901,"2,137"
1117x894,894,"1,821"
914x731,893,"1,715"
1336x751,890,"1,830"
683x384,888,"1,364"
1688x949,885,"1,634"
1139x640,883,"1,499"
1463x1097,882,"1,559"
1024x742,875,"1,103"
1281x720,868,"1,679"
1317x823,868,"2,175"
853x480,865,"1,570"
1700x960,864,"1,795"
1362x766,858,"1,814"
1024x1638,851,"1,607"
890x668,850,"1,583"
1939x1091,840,"1,772"
598x360,835,"1,090"
1192x670,831,"1,609"
480x360,830,"1,507"
1699x956,828,"1,792"
1864x1049,821,"1,952"
1627x915,818,"1,948"
1457x819,811,"1,767"
853x640,810,"1,543"
1760x990,809,"3,511"
1176x664,807,"1,549"
1088x612,805,"1,611"
1143x857,805,"1,734"
640x1024,802,"1,486"
1280x962,799,"1,476"
1519x949,799,"2,142"
962x553,798,"1,495"
1728x972,795,"1,885"
1761x991,789,"1,845"
1959x1102,787,"1,890"
1920x1280,785,"1,510"
914x601,785,"1,616"
1091x614,784,"1,575"
1525x857,782,"1,354"
1183x668,776,"1,570"
1684x1263,773,"1,515"
1500x844,768,"1,684"
2134x1200,768,"1,589"
408x678,768,"1,840"
1486x836,761,"2,051"
300x412,761,904
1641x923,755,"1,596"
2182x1227,755,"1,621"
1587x893,754,"1,709"
1920x1017,754,"1,350"
1824x1026,751,"1,534"
1969x1108,749,"1,590"
1455x1091,746,"1,391"
1280x721,745,"1,604"
1466x824,740,"1,701"
310x415,740,833
342x489,734,959
1901x1069,730,"1,618"
2954x1662,730,"1,185"
480x855,730,961
1095x730,729,"1,750"
2327x1309,728,"1,461"
1811x1019,727,"1,586"
1696x954,723,"2,232"
1714x1143,723,"1,927"
768x976,723,"1,490"
2484x1396,712,"1,092"
1366x706,711,"1,188"
1133x640,706,"1,597"
1412x794,706,"1,499"
2438x1371,705,"1,488"
1098x686,702,"1,446"
759x427,702,"1,062"
1613x908,700,"1,666"
1842x1036,697,"1,506"
1069x855,694,"1,613"
5760x1080,693,"1,461"
740x360,689,766
1613x1008,687,"1,668"
1164x698,685,"1,482"
1047x589,684,"1,741"
314x200,680,877
1257x785,679,"1,537"
1896x1067,672,"1,251"
1506x904,669,"1,374"
1333x889,668,"1,644"
1536x1152,668,"1,659"
300x415,666,866
1200x1600,665,"1,116"
1444x812,664,"1,605"
0x0,663,894
540x905,660,"1,554"
922x692,655,"1,542"
1552x873,654,"1,315"
1029x643,648,"1,490"
1255x706,644,"1,315"
2065x1161,641,"1,309"
1140x641,638,"1,202"
1646x926,636,"1,488"
1366x705,635,"1,199"
1113x626,632,"1,167"
480x801,632,859
1333x1000,630,"1,306"
412x618,628,"1,182"
1778x1333,627,"1,229"
1024x720,619,"1,378"
1979x1113,617,"1,446"
414x688,616,"1,278"
1280x850,615,"1,374"
320x488,614,"1,160"
412x766,614,"1,286"
1306x735,613,"1,305"
360x603,607,983
2226x1252,604,"1,191"
1786x1005,601,"1,113"
300x386,601,814
342x454,599,721
569x320,599,784
1324x828,595,"1,203"
1436x808,594,"1,644"
1822x1024,590,"1,063"
738x415,590,"1,033"
,"46,536,102","100,131,132"
,,
Day Index,Users,
09/05/2017,"3,024,048",
10/05/2017,"2,880,051",
11/05/2017,"2,866,801",
12/05/2017,"2,583,283",
13/05/2017,"1,801,862",
14/05/2017,"1,697,273",
15/05/2017,"3,295,877",
16/05/2017,"3,086,814",
17/05/2017,"3,098,927",
18/05/2017,"2,969,260",
19/05/2017,"2,694,949",
20/05/2017,"1,742,090",
21/05/2017,"1,938,956",
22/05/2017,"4,153,580",
23/05/2017,"2,874,597",
24/05/2017,"2,715,976",
25/05/2017,"2,560,325",
26/05/2017,"2,159,749",
27/05/2017,"1,325,170",
28/05/2017,"1,266,434",
29/05/2017,"1,869,577",
30/05/2017,"2,912,934",
31/05/2017,"2,800,992",
01/06/2017,"2,665,157",
02/06/2017,"2,351,600",
03/06/2017,"1,393,673",
04/06/2017,"1,487,963",
05/06/2017,"3,011,960",
06/06/2017,"2,920,378",
07/06/2017,"2,790,484",
,"74,940,740",